ID,Homepage,Homepage _Duration,Aboutus,Aboutus_Duration,Contactus,Contactus_Duration,BounceRates,ExitRates,PageValues,SpecialDay,Month,OperatingSystems,Browser,Province,TrafficType,VisitorType,Weekend
1,0,0,0,0,1,0,0.2,0.2,0,0,May,1,1,1,1,Returning_Visitor,FALSE
2,0,0,0,0,24,743.75,0,0.016666667,0,0,Dec,2,2,2,2,New_Visitor,TRUE
3,0,0,0,0,13,129.5,0.015384615,0.053846154,0,0,Nov,2,2,3,1,Returning_Visitor,FALSE
4,3,84,0,0,59,1720.422222,0.026984127,0.038231522,0,0,Oct,3,2,1,3,Returning_Visitor,TRUE
5,0,0,0,0,13,390.5,0.038461538,0.053846154,0,0,Dec,2,2,1,13,Returning_Visitor,FALSE
6,0,0,0,0,12,259.5,0.008333333,0.033333333,0,0,May,2,4,6,6,Returning_Visitor,FALSE
7,3,86.33333333,0,0,14,1256.333333,0,0.023076923,0,0,Nov,1,1,4,2,Returning_Visitor,FALSE
8,0,0,0,0,5,182.625,0,0.008,0,0,Dec,3,2,8,13,Returning_Visitor,FALSE
9,0,0,1,0,50,1115.459524,0.007843137,0.015686275,0,0,May,3,2,6,4,Returning_Visitor,TRUE
10,6,32.5,2,62.5,80,1190.418903,0.005714286,0.027420635,7.530107143,0.8,May,2,2,1,4,Returning_Visitor,FALSE
11,0,0,0,0,9,104.8333333,0.022222222,0.072222222,0,0,Mar,2,2,4,2,Returning_Visitor,FALSE
12,0,0,0,0,30,1285.166667,0.002758621,0.022660099,0,0,Nov,3,3,1,8,Returning_Visitor,TRUE
13,0,0,0,0,15,337,0.02,0.032222222,0,0,Jul,1,8,1,1,Returning_Visitor,FALSE
14,0,0,0,0,35,1608.7,0,0.002857143,0,0,Sep,2,4,3,2,New_Visitor,FALSE
15,0,0,1,0,0,0,0.2,0.2,0,0,Nov,1,1,4,15,Returning_Visitor,FALSE
16,0,0,0,0,4,10,0.1,0.15,0,0,Nov,2,2,1,1,Returning_Visitor,FALSE
17,0,0,0,0,28,2076.966667,0.003846154,0.017948718,0,0,Dec,2,2,8,2,Returning_Visitor,FALSE
18,3,80.6,2,112.8,10,390.2,0,0.015384615,0,0,Oct,2,5,3,20,Returning_Visitor,FALSE
19,0,0,0,0,12,366.5,0,0.016666667,287.9537928,0,Dec,2,2,1,2,New_Visitor,FALSE
20,2,46.4,0,0,16,463.36,0,0.011111111,46.33991252,0,Sep,2,2,7,2,Returning_Visitor,FALSE
21,0,0,0,0,3,23,0.044444444,0.111111111,0,0.8,May,2,2,6,1,Returning_Visitor,FALSE
22,7,79.5,2,31.5,65,5410.956705,0.002898551,0.019031516,0,0,Nov,2,2,3,2,Returning_Visitor,FALSE
23,2,45,0,0,9,96.46666667,0,0.018181818,0,0,Mar,2,2,3,1,Returning_Visitor,FALSE
24,8,352.2428571,6,241.5,45,1998.444081,0.009090909,0.01644733,2.842307011,0,Mar,3,2,1,2,Returning_Visitor,TRUE
25,15,275.9104437,6,606.75,47,1813.86461,0.007377049,0.019090804,9.417272131,0,May,3,2,4,6,Returning_Visitor,TRUE
26,0,0,0,0,15,2653.5,0,0.04,0,0,Sep,4,1,7,1,Returning_Visitor,FALSE
27,9,443.2916667,1,0,74,3615.889239,0.007028112,0.016930138,1.119759036,0.8,May,2,2,3,1,Returning_Visitor,FALSE
28,0,0,0,0,15,143.75,0.08,0.091555556,0,0.6,May,3,2,1,13,Returning_Visitor,FALSE
29,5,548.3142857,6,448.5,102,5703.476786,0.00173913,0.01470751,0,0,May,2,2,1,4,Returning_Visitor,TRUE
30,0,0,0,0,6,184,0.066666667,0.116666667,0,0,Nov,2,10,4,3,Returning_Visitor,FALSE
31,6,112.5,0,0,86,2041.23355,0.000387597,0.00786268,5.911452178,0,Nov,2,4,1,2,Returning_Visitor,FALSE
32,2,844,0,0,6,192.5,0.05,0.075,0,0.6,May,3,2,6,2,Returning_Visitor,FALSE
33,0,0,0,0,2,222,0,0.1,0,0,Feb,2,6,1,2,Returning_Visitor,TRUE
34,2,46.4,0,0,8,349,0.02,0.08,0,0,Aug,4,1,1,1,Returning_Visitor,FALSE
35,3,304,0,0,31,1735.301587,0.015625,0.0515625,0,0,Mar,1,1,2,1,Returning_Visitor,FALSE
36,0,0,0,0,17,437.1666667,0.011111111,0.033333333,0,0,Feb,2,4,1,3,Returning_Visitor,FALSE
37,5,65.5,0,0,27,354.5833333,0.014285714,0.023809524,0,0,Nov,1,1,8,1,Returning_Visitor,FALSE
38,10,161.7083333,1,0,126,2645.833333,0.004511278,0.01597088,2.776907268,0.6,May,3,2,2,3,Returning_Visitor,FALSE
39,12,633.5,0,0,28,752.7166667,0,0.017027417,0,0,May,2,2,1,2,Returning_Visitor,TRUE
40,0,0,0,0,19,528.25,0,0.005263158,0,0,Sep,2,2,5,2,Returning_Visitor,FALSE
41,1,41,0,0,43,1087.25,0,0.013636364,0,0,Mar,4,2,1,1,Returning_Visitor,FALSE
42,0,0,0,0,48,2235,0.004347826,0.025362319,9.127391304,0,May,2,2,7,2,Returning_Visitor,TRUE
43,0,0,0,0,39,963.1666667,0.005405405,0.028828829,9.922972973,0.6,May,2,6,2,3,Returning_Visitor,FALSE
44,0,0,0,0,18,5188.5,0,0.05,0,0,Mar,2,5,1,1,Returning_Visitor,FALSE
45,1,22.2,0,0,5,136.1,0.066666667,0.066666667,0,0,Oct,1,1,1,20,Returning_Visitor,FALSE
46,1,15,0,0,29,1397.5,0.011555556,0.046190476,0,0.8,May,2,4,7,3,Returning_Visitor,FALSE
47,8,146.5333333,0,0,107,3739.635556,0,0.009316239,2.551140814,0,Oct,2,2,3,2,Returning_Visitor,FALSE
48,4,88.625,3,170.5833333,5,124.9583333,0,0.005555556,0,0,Nov,2,4,7,2,New_Visitor,FALSE
49,6,326.25,4,94,128,5062.213753,0.000854701,0.01791847,0,0,Feb,2,5,1,3,Returning_Visitor,FALSE
50,2,109.8,0,0,32,897.3619048,0.005882353,0.035620915,0,0,Sep,2,10,4,2,Returning_Visitor,FALSE
51,0,0,0,0,12,213.2833333,0.016666667,0.041666667,0,0,Aug,3,2,3,4,Returning_Visitor,FALSE
52,0,0,0,0,52,2086.242857,0.015384615,0.020352564,0,0,Feb,2,2,7,1,Returning_Visitor,FALSE
53,0,0,0,0,11,1390.166667,0.012121212,0.014545455,0,0,Mar,1,1,1,3,Returning_Visitor,TRUE
54,4,134.1,0,0,7,110.3,0,0.015151515,0,0,Sep,3,2,1,5,New_Visitor,FALSE
55,0,0,0,0,1,0,0.2,0.2,0,0,May,2,2,6,4,Returning_Visitor,FALSE
56,1,0,0,0,8,436,0,0.022222222,0,0,Mar,2,4,6,1,Returning_Visitor,TRUE
57,0,0,0,0,9,324.5,0.014814815,0.022222222,0,0,Mar,1,2,6,1,Returning_Visitor,FALSE
58,1,80,2,48,25,879.6666667,0,0.007692308,0,0,May,1,1,4,2,New_Visitor,TRUE
59,3,209,0,0,18,412.3333333,0,0.01875,0,0.4,May,3,2,3,3,Returning_Visitor,FALSE
60,3,148,2,58.5,33,1847.211905,0,0.007830405,0,0,May,2,4,3,2,Returning_Visitor,FALSE
61,2,11,0,0,19,608.9428571,0.009090909,0.041915584,0,0,Mar,2,2,1,1,Returning_Visitor,FALSE
62,9,152.875,2,54.91666667,85,2971.254167,0.002197802,0.013631606,1.022550578,0,Nov,2,2,3,1,Returning_Visitor,FALSE
63,0,0,1,104,9,244.6666667,0.05,0.096,0,1,May,3,2,3,4,Returning_Visitor,TRUE
64,10,1455.35,0,0,66,1646.612195,0.007142857,0.029065112,0,0,Nov,2,2,1,2,Returning_Visitor,TRUE
65,0,0,2,172,32,1227.047222,0.005882353,0.015787285,6.380862745,0,May,2,2,1,6,Returning_Visitor,FALSE
66,0,0,0,0,14,266.0166667,0,0.042857143,0,0,Mar,3,2,1,1,Returning_Visitor,TRUE
67,0,0,0,0,1,0,0.2,0.2,0,0,Dec,2,2,1,3,Returning_Visitor,FALSE
68,1,81,0,0,12,131.5,0,0.003076923,0,1,May,3,2,1,4,Returning_Visitor,TRUE
69,0,0,1,38,10,311,0.018181818,0.036363636,0,0,May,2,10,2,4,Returning_Visitor,TRUE
70,0,0,0,0,2,31,0,0.025,0,0,Mar,3,2,3,3,Returning_Visitor,FALSE
71,15,591.6636364,0,0,56,2504.413636,0.004918033,0.011662763,8.184095082,0,May,3,2,1,2,Returning_Visitor,FALSE
72,1,2,0,0,24,958.25,0.025,0.035,24.34016667,0,May,2,2,1,6,Returning_Visitor,FALSE
73,0,0,0,0,12,1165.333333,0.004166667,0.043055556,0,0,Mar,2,2,3,2,Returning_Visitor,FALSE
74,0,0,0,0,7,42,0.057142857,0.085714286,0,0,Dec,2,4,6,1,Returning_Visitor,TRUE
75,2,60,0,0,20,717.6166667,0,0.004761905,60.19477937,0,Mar,2,5,9,2,Returning_Visitor,FALSE
76,0,0,0,0,6,399,0.033333333,0.022222222,44.99,0,May,3,2,2,5,Returning_Visitor,FALSE
77,1,7,0,0,11,98.1,0.035555556,0.058412698,0,0,June,1,1,1,20,Returning_Visitor,FALSE
